druh,obsah,datace,zobrazeno,xid,signatura,start_date,end_date,geolocation_position_lon,geolocation_position_lat,geolocation_type,geolocation_endpoint,autor,poznámka,scan_count,scan_previews,scan_zoomify_paths
negativ,"Panoramatický pohled od Petřína na Nebozísku na Pražský hrad a Malou Stranu, v popředí Petřínské sady, vpravo kostel sv. Mikuláše.",kol.1971,34x,A0C51239B67611DF820F00166F1163D4,VII 306,1971-01-01,1971-12-31,14.39885,50.0819,regional.address,geocode,"Chalupníček, Miroslav -, Chalupníčková, Věra (dokument 1941-1948)",,,[],[]
pozitiv,"Pohled na vstupní portál bývalého domu čp. 471 (""Melantrichův dům"") v Melantrichově ulici na Starém Městě, který byl zbořen v1893.",1893,21x,A0C4F5E5B67611DF820F00166F1163D4,VI 16/11,1893-01-01,1893-12-31,14.42091,50.08566,regional.address,geocode,,,,[],[]
pozitiv,"Pohled do interiéru Valdštejnského paláce (dům čp. 17 na Malé Straně) - Antikamera (zrcadlový salonek sousedící s Valdštejnovou pracovnou, kde stávala jeho osobní stráž).",,18x,A14CEB30B67611DF820F00166F1163D4,VI 60/18 b,,,14.40535,50.09003,regional.address,geocode,Eckert-ateliér,,,[],[]
pozitiv,Pohled do Prokopského údolí s kostelem sv. Prokopa na skále.,22.7.1923,102x,A14CE005B67611DF820F00166F1163D4,I 4547,1923-07-22,1923-07-22,14.38197,50.0411,regional.address,geocode,"Bernau, Karel, Ing. (1880-1948)",,,[],[]
pozitiv,"Celkový pohled na zahradní průčelí Dienzenhoferova pavilonu (dům čp. 74 - ""dům botanické zahrady"") v Nábřežní ulici na Smíchově.",kol.1895,38x,A14CE95FB67611DF820F00166F1163D4,VI 14/10,1895-01-01,1895-12-31,14.40004,50.06379,regional.address,geocode,"Eckert, Jindřich (1833-1905)",,,[],[]
pozitiv,Pohled do dvora domu čp. 384 z východní strany v Podskalské ulici na Novém Městě před zbořením roku 1911.,30.8.1906,53x,A14CEB2CB67611DF820F00166F1163D4,VI 58/22,1906-08-30,1906-08-30,14.53331,50.05804,regional.address,geocode,Eckert-ateliér,,,[],[]
pozitiv,"Pohled do Dlouhé ulice s domem čp. 609 (vlevo) na Starém Městě krátce před zbořením. Vpravo dům čp. 929, v pozadí část Staroměstské radnice.",4.5.1905,32x,A14CE945B67611DF820F00166F1163D4,VI 47/27 c,1905-05-04,1905-05-04,14.4218,50.08853,regional.address,geocode,Eckert-ateliér,,,[],[]
pozitiv,Sovětská okupace v Praze 21. srpna 1968 - zničené autobusy nad budovou rozhlasu na křižovatce ulic Italské (v popředí) a Vinohradské. V pozadí domy čp. 495 a čp. 1255. Vpravo dům čp. 1202 na Vinohradech.,21.8.1968,151x,A11889F3B67611DF820F00166F1163D4,I 4513,1968-08-21,1968-08-21,14.43564,50.0769,regional.address,geocode,"Sedláček, Karel",,,[],[]
pozitiv,Pohled na vstupní portál kostela P. Marie před Týnem na Starém Městě.,20.8.1907,12x,A11880B3B67611DF820F00166F1163D4,VI 27/9,1907-08-20,1907-08-20,14.42396,50.08884,regional.address,geocode,,,,[],[]
pozitiv,"Pohled na část novoměstské hradební zdi místech Neklanovy ulice, Botiče a železniční trati. Vpravo železniční most přes Botič. V pozadí vpravo kostel Nanebevzetí P. Marie a sv. Karla Velikého na Karlově.",před 1926,151x,A14CDD0EB67611DF820F00166F1163D4,I 4046,1800-01-01,1925-12-31,14.42103,50.06639,regional.address,geocode,"Vojta, Tomáš (1885-1934)",,,[],[]
pozitiv,Pohled přes Vltavu na dnešní Dvořákovo a Alšovo nábřeží s Rudolfinem. V pozadí panorama Starého Města.,kol.1890,54x,A14CDD16B67611DF820F00166F1163D4,II 508,1890-01-01,1890-12-31,14.41521,50.09017,regional.address,geocode,,,,[],[]
negativ,Pohled na část průčelí domu čp. 513 v Sokolovské ulici v Libni - opatrovna a mateřská škola.,kol.1905,62x,A0C4F448B67611DF820F00166F1163D4,VIII 764,1905-01-01,1905-12-31,14.47574,50.10217,regional.address,geocode,Eckert-ateliér,,,[],[]
pozitiv,Pohled na průčelí domu čp. 923 do Dlouhé ulice na Starém Městě.,kol.1910,30x,A1188679B67611DF820F00166F1163D4,VI 3/13,1910-01-01,1910-12-31,14.42207,50.08923,regional.address,geocode,"Svoboda, Josef ml. (dokument 1914-1920)",,,[],[]
negativ,"""Tycho Brahe v Praze"" - výstava 1901. Jeden z ""astronomických"" rukopisů Mikuláše Koperníka.",1901,11x,BB3D77BA0BB111E2AEA36C626D41E503,XII 904,1901-01-01,1901-12-31,14.41994,50.08663,regional.address,geocode,"Eckert, Jindřich (1833-1905)",,0.0,[],[]
negativ,Pohled na část domu čp. 7 s portálem v Malé Lazarské ulici na Novém Městě (bývalý špitál u sv. Lazara) krátce před zbořením.,1898-1900,40x,A1187A49B67611DF820F00166F1163D4,VIII 113,1898-01-01,1900-12-31,14.42152,50.07923,regional.address,geocode,"Eckert, Jindřich (1833-1905)",,,[],[]
pozitiv,Pohled na zahradní portál býv. domu čp. 1002 v Hybernské ulici na Novém Městě s balkonem.,15.4.1911,26x,A1188C93B67611DF820F00166F1163D4,VI 19/32,1911-04-15,1911-04-15,14.43134,50.08713,regional.address,geocode,,,,[],[]
negativ,"Celkový pohled na dům čp. 580 (""U Hroznu"") na nároží Ovocného trhu a Havířské ulice na Starém Městě. Vlevo dům čp. 579 (Kolovratský palác). Zcela vlevo část Tylova divadla.",1899,28x,A1188227B67611DF820F00166F1163D4,VIII 336,1899-01-01,1899-12-31,14.42422,50.08601,regional.address,geocode,"Eckert, Jindřich (1833-1905)",,,[],[]
pozitiv,Pohled do Vladislavského sálu Pražského hradu.,,23x,C5C45E605F5911E8A52374D435EEBE90,V 14/45,,,14.40198,50.09066,poi,suggest,,,,[],[]
pozitiv,"Pohled přes Vltavu na Staré Město - Dvořákovo nábřeží, vpravo Rudolfinum (dům čp. 79 na Starém Městě). V pozadí vlevo kostel P. Marie před Týnem, uprostřed věže kostela sv. Mikuláše na Staroměstském náměstí. V popředí část Jezuitské zahrady se zahradním domkem, vpravo malá část domu čp. 128 na Malé Straně ""letní dům Jezuitů"". Vlevo Občanská plovárna s parkem.",kol.1885,98x,A1187E17B67611DF820F00166F1163D4,VI 13/48,1885-01-01,1885-12-31,14.41139,50.09203,regional.address,geocode,"Fridrich, František (1829-1892)",,,[],[]
pozitiv,"Pražské povstání - 8.5.1945 - boje na Staroměstském náměstí - pohled na náměstí od Kynzlových domů směrem k Pařížské ulici. Vlevo část poškozeného východního křídla Staroměstské radnice s balkonem, uprostřed hořící dům čp. 934 na nároží Pařížské ulice, v popředí na zemi sutiny.",8.5.1945,140x,A1187E0DB67611DF820F00166F1163D4,IV 74/33,1945-05-08,1945-05-08,14.4207,50.08803,regional.address,geocode,"Stehno, Josef (?)",,,[],[]
pozitiv,"Socha sv. Augustina na Karlově mostě (J.Kohl, 1708).",1898,97x,A0C5071EB67611DF820F00166F1163D4,II 1418,1898-01-01,1898-12-31,14.41126,50.0865,poi,suggest,"Kříženecký, Jan (1868-1921)",Autorství J. Kříženeckého není jisté.,0.0,[],[]
pozitiv,Pohled na detaily fasády kostela sv. Jakuba na Starém Městě - střed jižní část štukatury.,19.7.1904,15x,A0C4F956B67611DF820F00166F1163D4,VI 35/4 a,1904-07-19,1904-07-19,14.42455,50.08856,regional.address,geocode,"Eckert, Jindřich (1833-1905)",,,[],[]
pozitiv,Pohled na Letenskou vodárenskou věž (dům čp. 1000 v Bubenči).,,101x,A0C50E33B67611DF820F00166F1163D4,I 8636,,,14.41987,50.10017,regional.address,geocode,,,,[],[]
pozitiv,Pohled na usedlost Hadovka (dům čp. 10) v Dejvicích z protějšího svahu. V popředí dům čp. 168.,26.5.1924,75x,6C6448A5611311E4B88BD4BED94BB14D,I 11033,1924-05-26,1924-05-26,14.37685,50.10006,regional.address,geocode,"Fink, František (1854-1935)",,,[],[]
negativ,Pohled na slavnost položení základního kamene novostavby domu čp. 191 na Starém Městě (Křižovnický klášter) - při čtení svědčícího listu.,13.11.1910,20x,96427754193711E28B046C626D41E503,XII 1241,1910-11-13,1910-11-13,14.41405,50.08641,regional.address,geocode,Eckert-ateliér,,0.0,[],[]
pozitiv,Panoramatický pohled z novoměstské vodárenské věže na Švehlovo nábřeží (dnes Ludvíka Svobody). V pozadí ostrov Štvanice s domem čp. 1340 a Holešovice s kostelem sv. Antonína Paduánského a budovou Úrazové pojišťovny (dům čp. 1000). Druhý díl panoramatu.,31.7.1937,79x,A4734D5FFA3511E5B79C406186009F3A,A 11330,1937-07-31,1937-07-31,14.43399,50.09709,regional.address,geocode,"Alexander, Antonín (1892-působnost do 1948)",,0.0,[],[]
pozitiv,Pohled do dvora domu čp. 425 na Malé Straně. V pozadí dvorní průčelí Umělecké besedy čp. 487.,25.2.1927,43x,A1186C2BB67611DF820F00166F1163D4,I 4244,1927-02-25,1927-02-25,14.40458,50.08208,regional.address,geocode,"Alexander, Antonín (1892-působnost do 1948)",,,[],[]
negativ,"Pohled ze Slovanského ostrova přes Vltavu k severu. Uprostřed Národní divadlo (dům čp. 223 na Novém Městě) a lávka, která spojovala nábřeží se Slovanským ostrovem. Vpravo Nové lázně (dům čp. 228 na Novém Městě) po přestavbě roku 1885.",kol.1890,47x,E07337949E9711E1AB206C626D41E503,XII 805,1890-01-01,1890-12-31,14.41471,50.07955,regional.address,geocode,"Eckert, Jindřich (1833-1905)",,0.0,[],[]
pozitiv,Celkový pohled na novostavbu Elektrických podniků hl. m. Prahy v Holešovicích (dům čp. 1477). Vlevo kostel sv. Antonína na Strossmayerově náměstí.,31.8.1937,53x,A7983AE0E68D11E89E7C74D435EEBE90,A 11382,1937-08-31,1937-08-31,14.4368,50.09865,regional.address,geocode,"Alexander, Antonín (1892-působnost do 1948)",,0.0,[],[]
pozitiv,"Pohled na vstupní portál domu čp. 70 (""U Künzlů"") v Míšeňské ulici na Malé Straně.",22.8.1906,14x,A0C51120B67611DF820F00166F1163D4,VI 20/16,1906-08-22,1906-08-22,14.40829,50.08777,regional.address,geocode,,,,[],[]
negativ,Průhled Šerlinskou uličkou s domy čp. 236 (vlevo) a čp. 213 a 215 (zprava) na Novém Městě před zbořením v letech 1902-1903.,kol.1900,25x,A0C5187CB67611DF820F00166F1163D4,VIII 80,1900-01-01,1900-12-31,14.4324,50.09015,regional.address,geocode,"Eckert, Jindřich (1833-1905)",,,[],[]
negativ,Celkový pohled na klášter Na Slovanech (v Emauzích) - dům čp. 320 na Novém Městě. V popředí původní domovní zástavba v Podskalí na dnešním Palackého náměstí.,14.10.1910,63x,6D90FC2B0ADB11E1BEC2000C766D2371,XII 391,1910-10-14,1910-10-14,14.41719,50.07215,regional.address,geocode,Eckert-ateliér,,0.0,[],[]
negativ,"Pohled do ulice Na Zderaze s domem čp. 267 (""Stoletá kavárna"") na nároží ulic na Zderaze a Na Zbořenci krátce před zbořením. Zleva domy čp. 260 a 1702 na Novém Městě.",27.3.1908,36x,A14CDADFB67611DF820F00166F1163D4,VIII 604,1908-03-27,1908-03-27,14.41664,50.07719,regional.address,geocode,Eckert-ateliér,,,[],[]
pozitiv,Pohled na dveře (č.22) v 1. patře a portál z roku 1560 odkryté při přestavbě Novoměstské radnice (dům čp. 1-2 na Novém Městě).,15.6.1904,44x,A14CEA29B67611DF820F00166F1163D4,VI 53/3,1904-06-15,1904-06-15,14.42113,50.07822,poi,suggest,"Eckert, Jindřich (1833-1905)",,,[],[]
negativ,"Pohled na ""Malířskou"" baštu na Karlově - zbytek novoměstských hradeb. V pozadí část kostela Nanebevzetí P. Marie a sv. Karla Velikého na Karlově.",1892,46x,B1AC91657C1F11E2BF19525400E46D25,VIII 1240,1892-01-01,1892-12-31,14.42851,50.0692,regional.address,geocode,"Eckert, Jindřich (1833-1905)",,,[],[]
pozitiv,Pohled na detail terasní zeď kostela sv. Jana Nepomuckého na Skalce ve Vyšehradské ulici na Novém Městě.,3.6.1923,59x,9DCB66D5978E11E6BAC1406186009F3A,A 77,1923-06-03,1923-06-03,14.41719,50.07215,regional.address,geocode,"Alexander, Antonín (1892-působnost do 1948)",,0.0,[],[]
pozitiv,Pohled na různě profilované kameny nalezené ve zdech zbořeného domu čp. 16 na Starém Městě (Andělská kolej) v Mikulášské ulici (dnes náměstí Franze Kafky).,1909,28x,B354CCC7808B11E4AAB4406186009F3A,V 1/8 c,1909-01-01,1909-12-31,14.41873,50.08783,regional.address,geocode,"Kříženecký, Jan (1868-1921)",,,[],[]
pozitiv,Pohled na západní průčelí Stavovského divadla (dům čp. 540 na Starém Městě).,kol.1925,33x,E570EEC8B0E411E29177406186009F3A,I 9724,1925-01-01,1925-12-31,14.42349,50.08599,regional.address,geocode,"Vojta, Tomáš (1885-1934)",,,[],[]
negativ,Pohled do interiéru domu čp. 1563 na Novém Městě - zasedací síň děkanátu lékařské fakulty německé univerzity v Anatomickém ústavu.,,14x,A0C5091BB67611DF820F00166F1163D4,X 210,,,14.42212,50.07375,regional.address,geocode,"Reach, Zikmund (1859-1935)",,,[],[]
pozitiv,Celkový pohled na Národní divadlo (dům čp. 223 na Novém Městě) z mostu Legií.,1984,86x,A0C50B74B67611DF820F00166F1163D4,I 4705,1984-01-01,1984-12-31,14.41347,50.08126,regional.address,geocode,"Doležal, Michal",,,[],[]
negativ,Sousoší Piety na Karlově mostě.,1900-1905,35x,673EA95A031711E293456C626D41E503,XII 612,1900-01-01,1905-12-31,14.41126,50.0865,poi,suggest,"Eckert, Jindřich (1833-1905)",,0.0,[],[]
pozitiv,Pohled na dům čp. 490 (palác Metychů z Čečova - Hrzánský) na Velkopřevorském náměstí na Malé Straně s renesančním portálem.,1970,27x,05C3657005B911E389696C626D41E503,I 9765,1970-01-01,1970-12-31,14.40739,50.08615,regional.address,geocode,"Vopravil, Josef (1902-1972)",,,[],[]
pozitiv,Pohled do Vyšehradské ulice s kostelem sv. Bartoloměje a s chudobincem (dům čp. 427) na Novém Městě před zbořením roku 1884.,kol.1880,89x,A0C5005BB67611DF820F00166F1163D4,VI 30/27 b,1880-01-01,1880-12-31,14.41883,50.06985,regional.address,geocode,"Eckert, Jindřich (1833-1905)",,,[],[]
negativ,Celkový pohled na nárožní dům čp. 36 (Thunovský palác) na Novém Městě na křižovatce Národní a Jungmannovy ulice.,kol.1910,49x,A1187B4CB67611DF820F00166F1163D4,X 2035,1910-01-01,1910-12-31,14.42213,50.08248,regional.address,geocode,,,,[],[]
negativ,"Pohled na dům čp. 897 na Novém Městě (""U Rajtknechtů"") na nároží ulic Jindřišské a Panské - průčelí do Jindřišské krátce před zbořením.",20.1.1907,40x,A118793FB67611DF820F00166F1163D4,VIII 134,1907-01-20,1907-01-20,14.42772,50.08394,regional.address,geocode,Eckert-ateliér,,,[],[]
pozitiv,Celkový pohled na dům čp. 59 ve Slivenecké ulici v Hlubočepích.,11.10.1925,59x,133FF8E4125411E8A338406186009F3A,A 2198,1925-10-11,1925-10-11,14.3878,50.04124,regional.address,geocode,"Alexander, Antonín (1892-působnost do 1948)",,0.0,[],[]
pozitiv,Pohled do dvora usedlosti Kotlaska (dům čp. 64) v Libni.,5.6.1928,77x,E12647CAEF2D11E9A3D5406186009F3A,A 4274,1928-06-05,1928-06-05,14.47916,50.10626,regional.address,geocode,"Alexander, Antonín (1892-působnost do 1948)",,0.0,[],[]
pozitiv,Pohled do interiéru domu čp. 216 (Obecná a měšťanská dívčí škola u sv. Vojtěcha) ve Vojtěšské ulici na Novém Městě - sborovna.,5.6.1907,30x,A0C5078CB67611DF820F00166F1163D4,V 11/6 d,1907-06-05,1907-06-05,14.41497,50.07885,regional.address,geocode,"Kříženecký, Jan (1868-1921)",,,[],[]
pozitiv,"Bruslení na Vltavě u Sovových mlýnů (dům čp. 503 vlevo). V pozadí Karlův most, Novotného lávka a Smetanovo nábřeží. Vpravo část Střeleckého ostrova.",únor 1907,82x,A14CE8E6B67611DF820F00166F1163D4,VI 13/10,1907-02-01,1907-02-28,14.40839,50.08359,regional.address,geocode,"Klíma, Alois, Ing. (1873-1955)",,,[],[]
pozitiv,Pohled do Astronomicko-astrologické chodby v 2. poschodí Valdštejnského paláce (dům čp. 17 na Malé Straně).,,19x,A14CE1A6B67611DF820F00166F1163D4,VI 9/8 b,,,14.40535,50.09003,regional.address,geocode,Eckert-ateliér,,,[],[]
pozitiv,Pohled na Loretánské náměstí na Hradčanech s domem čp. 101 (Černínský palác) vlevo a domem čp. 100 (Loreta) vpravo na Hradčanech.,15.8.1907,29x,A14CE8DEB67611DF820F00166F1163D4,VI 13/36,1907-08-15,1907-08-15,14.39151,50.08925,regional.address,geocode,"Klíma, Alois, Ing. (1873-1955)",,,[],[]
pozitiv,"Generál Dwight David Eisenhower na návštěvě v Praze - přijetí Dr. Petrem Zenklem na pražské radnici11.10.1945. V pozadí JUDr. Ladislav Pičman (třetí osoba zleva), druhý náměstek primátora, a Rúžena Pelantová, čtvrtá náměstkyně primátora.",11.10.1945,70x,A0C4FA34B67611DF820F00166F1163D4,I 1641,1945-10-11,1945-10-11,14.41783,50.08711,regional.address,geocode,,,,[],[]
pozitiv,Pohled na vchod do Havlíčkových sadů z křižovatky ulic Koperníkovy a U Havlíčkových sadů na Vinohradech.,1940-1945,44x,A1188C05B67611DF820F00166F1163D4,I 1853,1940-01-01,1945-12-31,14.44274,50.07006,regional.address,geocode,,,,[],[]
pozitiv,Pohled na hlavní průčelí kaple sv. Anny v Dolnokrčské ulici 1 (dům čp. 1908 v Krči).,28.4.1944,72x,259E4279510411E38E526C626D41E503,I 9818,1944-04-28,1944-04-28,14.44237,50.03563,regional.address,geocode,"Alexander, Antonín (1892-působnost do 1948)",,,[],[]
negativ,Pohled do tunelu novoměstské kanalizace pod nádražím v Hybernské ulici - skupina osob s cedulí s textem o proražení tunelu.,20.11.1907,70x,3663EC650D6A11E295A66C626D41E503,XII 1049,1907-11-20,1907-11-20,14.43085,50.08731,regional.address,geocode,Eckert-ateliér,,0.0,[],[]
pozitiv,Pohled ze střechy Clam-Gallasovského paláce na část budovy Magistrátu hlavního města Prahy (dům čp. 2) na Starém Městě.,1969,32x,A1188C1FB67611DF820F00166F1163D4,I 9316,1969-01-01,1969-12-31,14.41783,50.08711,regional.address,geocode,"Vopravil, Josef (1902-1972)",,,[],[]
pozitiv,Pohled na pravý portál kostela sv. Jakuba v ulici Malá Štupartská na Starém Městě.,23.8.1907,17x,A1187F1CB67611DF820F00166F1163D4,VI 29/14,1907-08-23,1907-08-23,14.42455,50.08856,regional.address,geocode,,,,[],[]
pozitiv,Odhlasování nové ústavy Československé republiky ve Vladislavském sále na Pražském hradě 9. května 1948.,9.5.1948,43x,A118742FB67611DF820F00166F1163D4,I 1635,1948-05-09,1948-05-09,14.40198,50.09066,poi,suggest,,,,[],[]
negativ,Pohled do interiéru Kinského vily čp. 98 na Smíchově.,před 1897,50x,0026A75307B511E28BD16C626D41E503,XII 753,1800-01-01,1896-12-31,14.39886,50.07673,regional.address,geocode,"Eckert, Jindřich (1833-1905)",,0.0,[],[]
negativ,Pohled do Královské třídy (dnes Sokolovská) z Jungmannova (dnes Karlínské) náměstí k východu. Uprostřed nárožní dům čp. 145 v Karlíně.,kol.1900,83x,F507FAEE310911E9978874D435EEBE90,IX 323 a,1900-01-01,1900-12-31,14.44836,50.09326,regional.address,geocode,Bellmann-ateliér,,,[],[]
pozitiv,Pohled na bourání (Braunova) domu čp. 730 na nároží Vodičkovy a Jungmannovy ulice na Novém Městě.,23.9.1911,71x,3B23D6ABE28B11E89F1B74D435EEBE90,V 8/29 a,1911-09-23,1911-09-23,14.42265,50.07965,regional.address,geocode,"Kříženecký, Jan (1868-1921)",,,[],[]
pozitiv,Portrét císaře Františka Josefa I. v oválu ve zdobeném rámečku s erbem.,kol.1900,90x,A1188BA8B67611DF820F00166F1163D4,II 1074,1900-01-01,1900-12-31,14.39861,50.08948,regional.address,geocode,"Pietzner, Carl",,0.0,[],[]
negativ,Novostavba Prvního pražského měšťanského pivovaru na Maninách (dům čp. 800 v Holešovicích).,kol.1896,69x,F26C4F21922E11E2BF28525400E46D25,VIII 1479,1896-01-01,1896-12-31,14.45112,50.10524,regional.address,geocode,"Eckert, Jindřich (1833-1905)",,,[],[]
pozitiv,"Pohled do Říční ulice s kostelem sv. Jana Na Prádle. Za ním dům čp. 440 na Malé Straně. V popředí vpravo přízemní dům (""Americká kamna""). V pozadí Petřín.",14.5.1931,49x,A1187A47B67611DF820F00166F1163D4,I 4651,1931-05-14,1931-05-14,14.40608,50.08189,regional.address,geocode,"Alexander, Antonín (1892-působnost do 1948)",,,[],[]
pozitiv,Pohled na průčelí domu čp. 471 v Melantrichově ulici na Starém Městě.,1893,15x,65E613DEE28411E4B65C0024BE7CD9AC,V 5/15 b,1893-01-01,1893-12-31,14.42091,50.08566,regional.address,geocode,,,,[],[]
pohlednice,Pražské povstání - květen 1945. Barikáda v Melantrichově ulice při ústí do Rytířské ulice na Starém Městě.,květen 1945,147x,A14CE6DBB67611DF820F00166F1163D4,I 6517,1945-05-01,1945-05-31,14.42055,50.0856,regional.address,geocode,"Turčín, Vilém (?)",,,[],[]
pozitiv,"Pohled na bourané domy čp. 179, 182, 180, 185, 173 v Cikánské a Masařské ulici v Josefově při asanaci.",21.6.1905,31x,A0C4F45EB67611DF820F00166F1163D4,VI 54/18,1905-06-21,1905-06-21,14.42123,50.09107,regional.address,geocode,Eckert-ateliér,,,[],[]
negativ,Panoramatický pohled na Malešice z Žernovské ulice ve starých Strašnicích. Pátá část pětidílného panoramatu.,kol.1955,60x,A0C50997B67611DF820F00166F1163D4,VII 250,1955-01-01,1955-12-31,14.50217,50.06619,regional.address,geocode,"Chalupníček, Miroslav -, Chalupníčková, Věra (dokument 1941-1948)",,,[],[]
pozitiv,Pohled na dům čp. 279 (hostinec) v Holešovicích na nároží ulic Na Zátorách a Vrbenského.,20.10.1959,89x,A0C5034EB67611DF820F00166F1163D4,I 4299,1959-10-20,1959-10-20,14.44565,50.10934,regional.address,geocode,"Hnilička, Eduard (1887-1967)",,,[],[]
negativ,"Celkový pohled na dům čp. 342 (kavárna Union - ""Braunerův dům"") na nároží ulic Národní a Na Perštýně na Starém Městě.",1913,103x,82560BEC6AFA11E295C66C626D41E503,XII 1359,1913-01-01,1913-12-31,14.4189,50.0826,regional.address,geocode,Eckert-ateliér,,0.0,[],[]
pozitiv,Pohled do interiéru starého královského paláce na pražském hradě - dvorská kancelář.,1904,16x,A0C50708B67611DF820F00166F1163D4,VI 10/9 b,1904-01-01,1904-12-31,14.40176,50.09062,poi,suggest,"Eckert, Jindřich (1833-1905)",,,[],[]
negativ,Pohled do interiéru hradu Karlštejn - křídová kresba sv. Ondřeje pod deskovým obrazem (N 14) na stěně kaple sv. Kříže. Reprodukce fotografie s razítkem Eckert.,30.8.1905,15x,EB6D8AD6DAB011DFBD5D000C766D2371,XII 219,1905-08-30,1905-08-30,14.25487,49.94465,poi,suggest,Eckert-ateliér,,0.0,[],[]
negativ,Projekt úpravy Letné architekta Františka Velicha - architektonické motivy v okolí průkopu.,20.2.1908,39x,31C15422F63711E3AB180024BE7CD9AC,XI 530,1908-02-20,1908-02-20,14.4171,50.093,regional.street,suggest,"Kříženecký, Jan (1868-1921)",,0.0,[],[]
pozitiv,Pohled na vchod do kvadratury Strahovského kláštera - domu čp. 132 na Hradčanech při stavebních úpravách.,léto 1906,29x,0B11A887656F11E8B6E074D435EEBE90,V 14/27,,,14.38967,50.08671,regional.address,geocode,,,,[],[]
pozitiv,Pohled do Smetanovy síně Obecního domu (dům čp. 1090 na Starém Městě) - varhany se záběrem pravé části prospektu. Pendentiv s plastikou Karla Nováka.,kol.1920,35x,A1186EF5B67611DF820F00166F1163D4,II 913,1920-01-01,1920-12-31,14.42825,50.08762,regional.address,geocode,,,,[],[]
negativ,1. světová válka - zásoby zeleniny ve Staroměstské radnici.,1915,27x,722EAD6FA3AC11E3A35E0024BE7CD9AC,XI 3765,1915-01-01,1915-12-31,14.41994,50.08663,regional.address,geocode,"Kříženecký, Jan (1868-1921)",,0.0,[],[]
pozitiv,Pohled na průvod studentů na Národní třídě 17.11.1989.,17.11.1989,108x,A11867E0B67611DF820F00166F1163D4,I 1655,1989-11-17,1989-11-17,14.41794,50.08191,regional.address,geocode,,,,[],[]
